country,police_trust_rating,subregion
Austria,7.2,Western Europe
Belgium,6.1,Western Europe
Bulgaria,3.6,Eastern Europe
Croatia,6.106451613,Eastern Europe
Cyprus,4.7,Southern Europe
Czechia,4.9,Eastern Europe
Denmark,7.9,Northern Europe
Estonia,6,Eastern Europe
Finland,8.2,Northern Europe
France,5.6,Western Europe
Germany,6.4,Western Europe
Greece,5,Southern Europe
Hungary,5.7,Eastern Europe
Iceland,7.7,Northern Europe
Ireland,6.9,Western Europe
Italy,5.8,Southern Europe
Latvia,5.4,Eastern Europe
Lithuania,6,Eastern Europe
Luxembourg,6.1,Western Europe
Malta,6.3,Southern Europe
Netherlands,6.6,Western Europe
Norway,7.5,Northern Europe
Poland,5.2,Eastern Europe
Portugal,5.4,Southern Europe
Romania,6.4,Eastern Europe
Slovakia,4.4,Eastern Europe
Slovenia,5.5,Eastern Europe
Spain,5.4,Southern Europe
Sweden,7.1,Northern Europe
Switzerland,7.4,Western Europe
Turkey,6.5,Eastern Europe
United Kingdom,6.4,Western Europe